,Cluster1,Cluster2,Cluster3,Cluster4
nexo,0.3,0.26,0.2,0.24
basic-attention-token,0.33,0.2,0.26,0.21
digibyte,0.39,0.22,0.2,0.19
0x,0.3,0.29,0.21,0.21
true-usd,0.4,0.18,0.15,0.27
qtum,0.39,0.29,0.17,0.14
republic-protocol,0.29,0.26,0.21,0.24
swissborg,0.29,0.31,0.19,0.2
icon,0.39,0.28,0.16,0.17
loopring,0.35,0.31,0.17,0.17
lisk,0.36,0.25,0.19,0.19
kyber-network,0.26,0.31,0.19,0.23
quant-network,0.18,0.33,0.25,0.24
bitcoin-gold,0.52,0.22,0.11,0.15
maidsafecoin,0.35,0.27,0.19,0.19
vitae,0.12,0.29,0.27,0.31
siacoin,0.44,0.2,0.19,0.17
nano,0.41,0.26,0.18,0.15
enjincoin,0.26,0.33,0.2,0.2
