,0.0,1.0,2.0,3.0
nexo,0.35,0.21,0.24,0.19
basic-attention-token,0.41,0.18,0.24,0.17
digibyte,0.48,0.17,0.2,0.15
0x,0.46,0.2,0.2,0.14
true-usd,0.36,0.13,0.21,0.3
qtum,0.49,0.2,0.16,0.15
republic-protocol,0.3,0.24,0.26,0.19
swissborg,0.33,0.25,0.24,0.18
icon,0.49,0.2,0.16,0.14
loopring,0.39,0.22,0.21,0.17
lisk,0.48,0.19,0.18,0.15
kyber-network,0.28,0.26,0.26,0.21
quant-network,0.19,0.27,0.28,0.25
bitcoin-gold,0.6,0.13,0.16,0.1
maidsafecoin,0.46,0.22,0.2,0.12
vitae,0.11,0.44,0.24,0.21
siacoin,0.5,0.17,0.19,0.14
nano,0.45,0.19,0.21,0.15
enjincoin,0.29,0.26,0.28,0.16
