,Cluster1,Cluster2,Cluster3,Cluster4
bitcoin,0.45,0.23,0.15,0.17
ethereum,0.44,0.25,0.14,0.17
ripple,0.42,0.24,0.15,0.19
litecoin,0.46,0.22,0.17,0.15
bitcoin-cash,0.49,0.21,0.14,0.16
chainlink,0.35,0.24,0.2,0.21
binancecoin,0.47,0.21,0.14,0.18
cardano,0.44,0.3,0.12,0.13
stellar,0.43,0.23,0.15,0.19
usd-coin,0.4,0.19,0.15,0.27
bitcoin-cash-sv,0.38,0.21,0.23,0.17
eos,0.41,0.26,0.15,0.18
nem,0.41,0.24,0.16,0.19
tron,0.4,0.26,0.17,0.17
okb,0.35,0.26,0.2,0.19
tezos,0.44,0.22,0.18,0.16
neo,0.45,0.26,0.17,0.13
