,Cluster1,Cluster2,Cluster3,Cluster4
bitcoin,0.45,0.23,0.15,0.17
ethereum,0.44,0.25,0.14,0.17
ripple,0.42,0.24,0.15,0.19
litecoin,0.46,0.22,0.17,0.15
bitcoin-cash,0.49,0.21,0.14,0.16
chainlink,0.35,0.24,0.2,0.21
binancecoin,0.47,0.21,0.14,0.18
cardano,0.44,0.3,0.12,0.13
stellar,0.43,0.23,0.15,0.19
usd-coin,0.4,0.19,0.15,0.27
bitcoin-cash-sv,0.38,0.21,0.23,0.17
eos,0.41,0.26,0.15,0.18
nem,0.41,0.24,0.16,0.19
tron,0.4,0.26,0.17,0.17
okb,0.35,0.26,0.2,0.19
tezos,0.44,0.22,0.18,0.16
neo,0.45,0.26,0.17,0.13
celsius-degree-token,0.25,0.27,0.28,0.2
theta-token,0.36,0.28,0.16,0.2
dash,0.47,0.23,0.12,0.18
vechain,0.34,0.22,0.24,0.21
havven,0.23,0.21,0.32,0.24
huobi-token,0.34,0.26,0.2,0.21
iota,0.46,0.21,0.14,0.19
zcash,0.48,0.23,0.14,0.15
waves,0.4,0.24,0.17,0.19
ethereum-classic,0.45,0.26,0.15,0.14
zilliqa,0.39,0.25,0.17,0.19
dogecoin,0.39,0.24,0.16,0.21
maker,0.4,0.22,0.18,0.21
decred,0.41,0.22,0.16,0.21
omisego,0.45,0.24,0.16,0.15
ontology,0.39,0.25,0.17,0.19
paxos-standard,0.4,0.18,0.15,0.27
nexo,0.3,0.26,0.2,0.24
basic-attention-token,0.33,0.2,0.26,0.21
digibyte,0.39,0.22,0.2,0.19
0x,0.3,0.29,0.21,0.21
true-usd,0.4,0.18,0.15,0.27
qtum,0.39,0.29,0.17,0.14
republic-protocol,0.29,0.26,0.21,0.24
swissborg,0.29,0.31,0.19,0.2
icon,0.39,0.28,0.16,0.17
loopring,0.35,0.31,0.17,0.17
lisk,0.36,0.25,0.19,0.19
kyber-network,0.26,0.31,0.19,0.23
quant-network,0.18,0.33,0.25,0.24
bitcoin-gold,0.52,0.22,0.11,0.15
maidsafecoin,0.35,0.27,0.19,0.19
vitae,0.12,0.29,0.27,0.31
siacoin,0.44,0.2,0.19,0.17
nano,0.41,0.26,0.18,0.15
enjincoin,0.26,0.33,0.2,0.2
